title,imdb,Genre,year,duration,certificate,description,Director,Stars
The Dirty Dozen,77,Action,1967,150,Approved,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",Director: Robert Aldrich ," Stars: Lee Marvin, Ernest Borgnine, Charles Bronson, John Cassavetes"
Dirty Harry,77,Action,1971,102,R,"When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath.","Directors: Don Siegel, Clint Eastwood "," Stars: Clint Eastwood, Andrew Robinson, Harry Guardino, Reni Santoni"
Fried Green Tomatoes,77,Drama,1991,130,PG-13,A housewife who is unhappy with her life befriends an old lady at a nursing home and is enthralled by the tales she tells of people she used to know.,Director: Jon Avnet ," Stars: Kathy Bates, Jessica Tandy, Mary Stuart Masterson, Mary-Louise Parker"
The Fault in Our Stars,77,Drama,2014,126,PG-13,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.,Director: Josh Boone ," Stars: Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern"
Star Trek Into Darkness,77,Action,2013,132,PG-13,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",Director: J.J. Abrams ," Stars: Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch"
The Bourne Supremacy,77,Action,2004,108,PG-13,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",Director: Paul Greengrass ," Stars: Matt Damon, Franka Potente, Joan Allen, Brian Cox"
Road to Perdition,77,Crime,2002,117,R,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",Director: Sam Mendes ," Stars: Tom Hanks, Tyler Hoechlin, Rob Maxey, Liam Aiken"
3:10 to Yuma,77,Action,2007,122,R,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,Director: James Mangold ," Stars: Russell Crowe, Christian Bale, Ben Foster, Logan Lerman"
Gattaca,77,Drama,1997,106,PG-13,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,Director: Andrew Niccol ," Stars: Ethan Hawke, Uma Thurman, Jude Law, Gore Vidal"
A Man Called Ove,77,Comedy,2015,116,PG-13,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",Director: Hannes Holm ," Stars: Rolf Lassgård, Bahar Pars, Filip Berg, Ida Engvoll"
Apollo 13,77,Adventure,I 1995,140,PG,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,Director: Ron Howard ," Stars: Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise"
Wreck-It Ralph,77,Animation,2012,101,PG,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",Director: Rich Moore ," Stars: John C. Reilly, Jack McBrayer, Jane Lynch, Sarah Silverman"
The Color Purple,77,Drama,1985,154,PG-13,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,Director: Steven Spielberg ," Stars: Danny Glover, Whoopi Goldberg, Oprah Winfrey, Margaret Avery"
Evil Dead II,77,Comedy,1987,84,R,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.,Director: Sam Raimi ," Stars: Bruce Campbell, Sarah Berry, Dan Hicks, Kassie Wesley DePaiva"
The Boy in the Striped Pajamas,77,Drama,2008,94,PG-13,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",Director: Mark Herman ," Stars: Asa Butterfield, David Thewlis, Rupert Friend, Zac Mattoon O'Brien"
Sound of Metal,77,Drama,2019,120,R,A heavy metal drummer's life is turned upside down when he begins to lose his hearing and he must confront a future filled with silence.,Director: Darius Marder ," Stars: Riz Ahmed, Olivia Cooke, Paul Raci, Lauren Ridloff"
Star Trek II: The Wrath of Khan,77,Action,1982,113,PG,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",Director: Nicholas Meyer ," Stars: William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan"
Paprika,77,Animation,2006,90,R,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it.",Director: Satoshi Kon ," Stars: Megumi Hayashibara, Tôru Emori, Katsunosuke Hori, Tôru Furuya"
Serpico,77,Biography,1973,130,R,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,Director: Sidney Lumet ," Stars: Al Pacino, John Randolph, Jack Kehoe, Biff McGuire"
The Theory of Everything,77,Biography,2014,123,PG-13,A look at the relationship between the famous physicist Stephen Hawking and his wife.,Director: James Marsh ," Stars: Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry"
The Trial of the Chicago 7,77,Drama,2020,129,R,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",Director: Aaron Sorkin ," Stars: Eddie Redmayne, Alex Sharp, Sacha Baron Cohen, Jeremy Strong"
Detachment,77,Drama,2011,98,Not Rated,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.,Director: Tony Kaye ," Stars: Adrien Brody, Christina Hendricks, Marcia Gay Harden, Lucy Liu"
Kung Fu Hustle,77,Action,2004,99,R,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.",Director: Stephen Chow ," Stars: Stephen Chow, Wah Yuen, Qiu Yuen, Siu-Lung Leung"
Empire of the Sun,77,Drama,1987,153,PG,A young English boy struggles to survive under Japanese occupation of China during World War II.,Director: Steven Spielberg ," Stars: Christian Bale, John Malkovich, Miranda Richardson, Nigel Havers"
This Is England,77,Crime,2006,101,Not Rated,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.",Director: Shane Meadows ," Stars: Thomas Turgoose, Stephen Graham, Jo Hartley, Andrew Shim"
Flipped,77,Comedy,I 2010,90,PG,Two eighth-graders start to have feelings for each other despite being total opposites.,Director: Rob Reiner ," Stars: Madeline Carroll, Callan McAuliffe, Rebecca De Mornay, Anthony Edwards"
Adaptation.,77,Comedy,2002,115,R,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.,Director: Spike Jonze ," Stars: Nicolas Cage, Meryl Streep, Chris Cooper, Tilda Swinton"
Being John Malkovich,77,Comedy,1999,113,R,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,Director: Spike Jonze ," Stars: John Cusack, Cameron Diaz, Catherine Keener, John Malkovich"
The Magnificent Seven,77,Action,1960,128,Approved,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,Director: John Sturges ," Stars: Yul Brynner, Steve McQueen, Charles Bronson, Eli Wallach"
The Wind Rises,77,Animation,2013,126,PG-13,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.",Director: Hayao Miyazaki ," Stars: Hideaki Anno, Hidetoshi Nishijima, Miori Takimoto, Masahiko Nishimura"
Clerks,77,Comedy,1994,92,R,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",Director: Kevin Smith ," Stars: Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti, Lisa Spoonauer"
Roma,77,Drama,2018,135,R,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,Director: Alfonso Cuarón ," Stars: Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey, Carlos Peralta"
Hamlet,77,Drama,1996,242,PG-13,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.",Director: Kenneth Branagh ," Stars: Kenneth Branagh, Julie Christie, Derek Jacobi, Kate Winslet"
Malcolm X,77,Biography,1992,202,PG-13,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam and his eventual assassination.",Director: Spike Lee ," Stars: Denzel Washington, Angela Bassett, Delroy Lindo, Spike Lee"
Goldfinger,77,Action,1964,110,PG,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",Director: Guy Hamilton ," Stars: Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton"
The Great Beauty,77,Drama,2013,141,Not Rated,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.",Director: Paolo Sorrentino ," Stars: Toni Servillo, Carlo Verdone, Sabrina Ferilli, Carlo Buccirosso"
Ray,77,Biography,I 2004,152,PG-13,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.",Director: Taylor Hackford ," Stars: Jamie Foxx, Regina King, Kerry Washington, Clifton Powell"
Lucky Number Slevin,77,Crime,2006,110,R,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",Director: Paul McGuigan ," Stars: Josh Hartnett, Ben Kingsley, Morgan Freeman, Lucy Liu"
Belle de Jour,77,Drama,1967,100,R,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,Director: Luis Buñuel ," Stars: Catherine Deneuve, Jean Sorel, Michel Piccoli, Geneviève Page"
Billy Elliot,77,Drama,2000,110,R,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,Director: Stephen Daldry ," Stars: Jamie Bell, Julie Walters, Jean Heywood, Jamie Draven"
Me and Earl and the Dying Girl,77,Comedy,2015,105,PG-13,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer.",Director: Alfonso Gomez-Rejon ," Stars: Thomas Mann, RJ Cyler, Olivia Cooke, Nick Offerman"
The Last Emperor,77,Biography,1987,163,PG-13,"Bernardo Bertolucci's Oscar-winning dramatisation of the life story of China's last emperor, Pu Yi.",Director: Bernardo Bertolucci ," Stars: John Lone, Joan Chen, Peter O'Toole, Ruocheng Ying"
Badlands,77,Action,1973,94,PG,"An impressionable teenage girl from a dead-end town, and her older greaser boyfriend, embark on a killing spree in the South Dakota Badlands.",Director: Terrence Malick ," Stars: Martin Sheen, Sissy Spacek, Warren Oates, Ramon Bieri"
Mother,77,Crime,2009,129,R,A mother desperately searches for the killer who framed her son for a girl's horrific murder.,Director: Bong Joon Ho ," Stars: Hye-ja Kim, Won Bin, Jin Goo, Je-mun Yun"
Black Book,77,Drama,2006,145,R,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.",Director: Paul Verhoeven ," Stars: Carice van Houten, Sebastian Koch, Thom Hoffman, Halina Reijn"
Miller's Crossing,77,Crime,1990,115,R,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.","Directors: Joel Coen, Ethan Coen "," Stars: Gabriel Byrne, Albert Finney, John Turturro, Marcia Gay Harden"
Finding Neverland,77,Biography,2004,106,PG,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,Director: Marc Forster ," Stars: Johnny Depp, Kate Winslet, Julie Christie, Radha Mitchell"
"South Park: Bigger, Longer & Uncut",77,Animation,1999,81,R,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.",Director: Trey Parker ," Stars: Trey Parker, Matt Stone, Mary Kay Bergman, Isaac Hayes"
Ordinary People,77,Drama,1980,124,R,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son.",Director: Robert Redford ," Stars: Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton"
Zulu,77,Drama,1964,138,Not Rated,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.,Director: Cy Endfield ," Stars: Stanley Baker, Jack Hawkins, Ulla Jacobsson, James Booth"
The Longest Day,77,Action,1962,178,G,"The events of D-Day, told on a grand scale from both the Allied and German points of view.","Directors: Ken Annakin, Andrew Marton, Gerd Oswald, Bernhard Wicki, Darryl F. Zanuck "," Stars: John Wayne, Robert Ryan, Richard Burton, Henry Fonda"
Porco Rosso,77,Animation,1992,94,PG,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.",Director: Hayao Miyazaki ," Stars: Shûichirô Moriyama, Tokiko Katô, Bunshi Katsura Vi, Tsunehiko Kamijô"
The Verdict,77,Drama,1982,129,R,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.",Director: Sidney Lumet ," Stars: Paul Newman, Charlotte Rampling, Jack Warden, James Mason"
Run Lola Run,77,Action,1998,80,R,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks.",Director: Tom Tykwer ," Stars: Franka Potente, Moritz Bleibtreu, Herbert Knaup, Nina Petri"
The Quiet Man,77,Comedy,1952,129,Passed,"A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.",Director: John Ford ," Stars: John Wayne, Maureen O'Hara, Barry Fitzgerald, Ward Bond"
Breathless,77,Crime,1960,90,Not Rated,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy.",Director: Jean-Luc Godard ," Stars: Jean-Paul Belmondo, Jean Seberg, Van Doude, Jean-Luc Godard"
Fantasia,77,Animation,1940,124,G,A collection of animated interpretations of great works of Western classical music.,"Directors: James Algar, Samuel Armstrong, Ford Beebe Jr., Norman Ferguson, David Hand, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield, Ben Sharpsteen "," Stars: Leopold Stokowski, Deems Taylor, The Philadelphia Orchestra, Corey Burton"
Fantastic Planet,77,Animation,1973,72,PG,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders.",Director: René Laloux ," Stars: Barry Bostwick, Jennifer Drake, Eric Baugin, Jean Topart"
The Man from Nowhere,77,Action,2010,119,R,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,Director: Jeong-beom Lee ," Stars: Won Bin, Kim Sae-ron, Kim Tae-hoon, Kim Hee-won"
The Vanishing,77,Mystery,1988,107,Not Rated,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor.",Director: George Sluizer ," Stars: Bernard-Pierre Donnadieu, Gene Bervoets, Johanna ter Steege, Gwen Eckhaus"
Beasts of No Nation,77,Drama,2015,137,TV-MA,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.",Director: Cary Joji Fukunaga ," Stars: Abraham Attah, Emmanuel Affadzi, Ricky Adelayitor, Andrew Adote"
Nebraska,77,Drama,2013,115,R,"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize.",Director: Alexander Payne ," Stars: Bruce Dern, Will Forte, June Squibb, Bob Odenkirk"
Short Cuts,77,Comedy,1993,188,R,The day-to-day lives of several suburban Los Angeles residents.,Director: Robert Altman ," Stars: Andie MacDowell, Julianne Moore, Tim Robbins, Bruce Davison"
Open Your Eyes,77,Drama,1997,119,R,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.",Director: Alejandro Amenábar ," Stars: Eduardo Noriega, Penélope Cruz, Chete Lera, Fele Martínez"
Happy Together,77,Drama,1997,96,Not Rated,A couple take a trip to Argentina but both men find their lives drifting apart in opposite directions.,Director: Kar-Wai Wong ," Stars: Leslie Cheung, Tony Leung Chiu-wai, Chang Chen, Gregory Dayton"
Kubo and the Two Strings,77,Animation,2016,101,PG,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,Director: Travis Knight ," Stars: Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes"
Night on Earth,77,Comedy,1991,129,R,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,Director: Jim Jarmusch ," Stars: Winona Ryder, Gena Rowlands, Lisanne Falk, Alan Randolph Scott"
Invasion of the Body Snatchers,77,Drama,1956,80,Approved,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,Director: Don Siegel ," Stars: Kevin McCarthy, Dana Wynter, Larry Gates, King Donovan"
Waking Life,77,Animation,2001,99,R,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.,Director: Richard Linklater ," Stars: Ethan Hawke, Trevor Jack Brooks, Lorelei Linklater, Wiley Wiggins"
The African Queen,77,Adventure,1951,105,PG,"In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship.",Director: John Huston ," Stars: Humphrey Bogart, Katharine Hepburn, Robert Morley, Peter Bull"
Dreams,77,Drama,1990,119,PG,A collection of tales based upon eight of director Akira Kurosawa's recurring dreams.,"Directors: Akira Kurosawa, Ishirô Honda "," Stars: Akira Terao, Mitsuko Baishô, Toshie Negishi, Mieko Harada"
Black Narcissus,77,Drama,1947,101,Not Rated,"A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad.","Directors: Michael Powell, Emeric Pressburger "," Stars: Deborah Kerr, David Farrar, Flora Robson, Jenny Laird"
The Magdalene Sisters,77,Drama,2002,114,R,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.,Director: Peter Mullan ," Stars: Eileen Walsh, Dorothy Duffy, Nora-Jane Noone, Anne-Marie Duff"
Hedwig and the Angry Inch,77,Comedy,2001,95,R,A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.,Director: John Cameron Mitchell ," Stars: John Cameron Mitchell, Miriam Shor, Stephen Trask, Theodore Liscinski"
Taste of Cherry,77,Drama,1997,95,Not Rated,An Iranian man drives his car in search of someone who will quietly bury him under a cherry tree after he commits suicide.,Director: Abbas Kiarostami ," Stars: Homayoun Ershadi, Abdolrahman Bagheri, Afshin Khorshid Bakhtiari, Safar Ali Moradi"
When Marnie Was There,77,Animation,2014,103,PG,"Due to 12-year-old Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie?",Director: Hiromasa Yonebayashi ," Stars: Sara Takatsuki, Kasumi Arimura, Nanako Matsushima, Susumu Terajima"
Good Bye Lenin!,77,Comedy,2003,121,R,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.",Director: Wolfgang Becker ," Stars: Daniel Brühl, Katrin Sass, Chulpan Khamatova, Florian Lukas"
Cape Fear,77,Drama,1962,106,Passed,A lawyer's family is stalked by a man he once helped put in jail.,Director: J. Lee Thompson ," Stars: Gregory Peck, Robert Mitchum, Polly Bergen, Lori Martin"
Frost/Nixon,77,Biography,2008,122,R,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.,Director: Ron Howard ," Stars: Frank Langella, Michael Sheen, Kevin Bacon, Sam Rockwell"
The Double Life of Véronique,77,Drama,1991,98,R,"Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected.",Director: Krzysztof Kieslowski ," Stars: Irène Jacob, Wladyslaw Kowalski, Halina Gryglaszewska, Kalina Jedrusik"
The Broken Circle Breakdown,77,Drama,2012,111,Not Rated,"Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial.",Director: Felix van Groeningen ," Stars: Veerle Baetens, Johan Heldenbergh, Nell Cattrysse, Geert Van Rampelberg"
Hard Boiled,77,Action,1992,128,R,A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.,Director: John Woo ," Stars: Chow Yun-Fat, Tony Leung Chiu-wai, Teresa Mo, Philip Chan"
Wait Until Dark,77,Thriller,1967,108,Not Rated,A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment.,Director: Terence Young ," Stars: Audrey Hepburn, Alan Arkin, Richard Crenna, Efrem Zimbalist Jr."
Scarface,77,Action,1932,93,PG,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.","Directors: Howard Hawks, Richard Rosson "," Stars: Paul Muni, Ann Dvorak, Karen Morley, Osgood Perkins"
The Motorcycle Diaries,77,Adventure,2004,126,R,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,Director: Walter Salles ," Stars: Gael García Bernal, Rodrigo de la Serna, Mía Maestro, Mercedes Morán"
A Man for All Seasons,77,Biography,1966,120,G,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",Director: Fred Zinnemann ," Stars: Paul Scofield, Wendy Hiller, Robert Shaw, Leo McKern"
Marty,77,Drama,1955,90,Not Rated,A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall for each other.,Director: Delbert Mann ," Stars: Ernest Borgnine, Betsy Blair, Esther Minciotti, Augusta Ciolli"
The Little Prince,77,Animation,2015,108,PG,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince.",Director: Mark Osborne ," Stars: Jeff Bridges, Mackenzie Foy, Rachel McAdams, Marion Cotillard"
Key Largo,77,Action,1948,100,Approved,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.",Director: John Huston ," Stars: Humphrey Bogart, Edward G. Robinson, Lauren Bacall, Lionel Barrymore"
Down by Law,77,Comedy,1986,107,R,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.",Director: Jim Jarmusch ," Stars: Tom Waits, John Lurie, Roberto Benigni, Nicoletta Braschi"
The Experiment,77,Drama,2001,120,R,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence.",Director: Oliver Hirschbiegel ," Stars: Moritz Bleibtreu, Christian Berkel, Oliver Stokowski, Wotan Wilke Möhring"
The Purple Rose of Cairo,77,Comedy,1985,82,PG,"In 1935 New Jersey, a movie character walks off the screen and into the real world.",Director: Woody Allen ," Stars: Mia Farrow, Jeff Daniels, Danny Aiello, Irving Metzman"
The Triplets of Belleville,77,Animation,2003,80,PG-13,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",Director: Sylvain Chomet ," Stars: Michèle Caucheteux, Jean-Claude Donda, Michel Robin, Monica Viegas"
The Caine Mutiny,77,Drama,1954,124,Not Rated,"When a U.S. Naval captain shows signs of mental instability that jeopardises the ship, the first officer is urged to consider relieving him of command.",Director: Edward Dmytryk ," Stars: Humphrey Bogart, José Ferrer, Van Johnson, Fred MacMurray"
How Green Was My Valley,77,Drama,1941,118,Passed,"At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life.",Director: John Ford ," Stars: Walter Pidgeon, Maureen O'Hara, Anna Lee, Donald Crisp"
Jules and Jim,77,Drama,1962,105,Not Rated,Decades of a love triangle concerning two friends and an impulsive woman.,Director: François Truffaut ," Stars: Jeanne Moreau, Oskar Werner, Henri Serre, Vanna Urbino"
Joint Security Area,77,Action,2000,110,Not Rated,"After a shooting incident at the North-South Korean border DMZ leaves two North Korean soldiers dead, a neutral Swiss and Swedish team investigates what actually happened.",Director: Park Chan-wook ," Stars: Lee Yeong-ae, Lee Byung-hun, Song Kang-ho, Kim Tae-woo"
Adam's Apples,77,Comedy,2005,94,R,A neo-Nazi sentenced to community service at a church clashes with the blindly devoted minister.,Director: Anders Thomas Jensen ," Stars: Ulrich Thomsen, Mads Mikkelsen, Nicolas Bro, Paprika Steen"
The Salesman,77,Drama,2016,124,PG-13,"While Ranaa and Emad, a married couple, are participating in a production of ""Death of a Salesman,"" she is assaulted in their new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",Director: Asghar Farhadi ," Stars: Taraneh Alidoosti, Shahab Hosseini, Babak Karimi, Mina Sadati"
Evil,77,Drama,2003,113,Not Rated,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back.",Director: Mikael Håfström ," Stars: Andreas Wilson, Henrik Lundström, Gustaf Skarsgård, Linda Zilliacus"
After the Wedding,77,Drama,2006,120,R,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret.",Director: Susanne Bier ," Stars: Mads Mikkelsen, Sidse Babett Knudsen, Rolf Lassgård, Neeral Mulchandani"
In America,77,Drama,2002,105,PG-13,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.,Director: Jim Sheridan ," Stars: Paddy Considine, Samantha Morton, Djimon Hounsou, Sarah Bolger"
The Breadwinner,77,Animation,2017,94,PG-13,"In 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family.",Director: Nora Twomey ," Stars: Saara Chaudry, Soma Chhaya, Noorin Gulamgaus, Laara Sadiq"
Love and Death,77,Comedy,1975,85,PG,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",Director: Woody Allen ," Stars: Woody Allen, Diane Keaton, Georges Adet, Frank Adu"
The Girl Who Leapt Through Time,77,Animation,2006,98,TV-PG,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own.",Director: Mamoru Hosoda ," Stars: Riisa Naka, Takuya Ishida, Mitsutaka Itakura, Ayami Kakiuchi"
Confessions,77,Drama,2010,106,Not Rated,A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.,Director: Tetsuya Nakashima ," Stars: Takako Matsu, Yoshino Kimura, Masaki Okada, Yukito Nishii"
The Edge of Heaven,77,Drama,2007,122,Not Rated,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.,Director: Fatih Akin ," Stars: Baki Davrak, Gürsoy Gemec, Cengiz Daner, Tuncel Kurtiz"
The Muppet Christmas Carol,77,Comedy,1992,85,G,The Muppets present their own touching rendition of Charles Dickens' classic tale.,Director: Brian Henson ," Stars: Michael Caine, Dave Goelz, Steve Whitmire, Jerry Nelson"
The Past,77,Drama,2013,130,PG-13,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce.",Director: Asghar Farhadi ," Stars: Bérénice Bejo, Tahar Rahim, Ali Mosaffa, Pauline Burlet"
